Year,Flow,Plotting_Position,Is_Outlier
1916,13.73,0.542056075,FALSE
1917,34.94,0.336448598,FALSE
1918,109.87,0.177570093,FALSE
1919,148.38,0.112149533,FALSE
1920,16.71,0.495327103,FALSE
1921,3.43,0.878504673,FALSE
1922,356.79,0.065420561,FALSE
1923,10.82,0.626168224,FALSE
1924,64.45,0.252336449,FALSE
1925,387.94,0.037383178,FALSE
1926,121.99,0.158878505,FALSE
1927,31.71,0.364485981,FALSE
1928,138.58,0.121495327,FALSE
1929,53.8,0.280373832,FALSE
1930,169.48,0.093457944,FALSE
1931,11.3,0.61682243,FALSE
1932,174.91,0.08411215,FALSE
1933,1.36,0.934579439,FALSE
1934,76.23,0.23364486,FALSE
1935,387.18,0.046728972,FALSE
1936,1149.01,0.009345794,FALSE
1937,117.35,0.168224299,FALSE
1938,93.19,0.205607477,FALSE
1939,4.9,0.803738318,FALSE
1940,27.38,0.420560748,FALSE
1941,73.45,0.242990654,FALSE
1942,10.25,0.654205607,FALSE
1943,6.29,0.76635514,FALSE
1944,15.04,0.514018692,FALSE
1945,365.77,0.056074766,FALSE
1946,4.9,0.794392523,FALSE
1947,138.41,0.130841121,FALSE
1948,472.89,0.028037383,FALSE
1949,134.08,0.14953271,FALSE
1950,43.61,0.308411215,FALSE
1951,23.3,0.439252336,FALSE
1952,5.8,0.775700935,FALSE
1953,136.83,0.140186916,FALSE
1954,55.1,0.271028037,FALSE
1955,13.03,0.579439252,FALSE
1956,35.45,0.327102804,FALSE
1957,632.09,0.018691589,FALSE
1958,10.22,0.672897196,FALSE
1959,83.93,0.224299065,FALSE
1960,7.99,0.728971963,FALSE
1961,99.31,0.196261682,FALSE
1962,5.55,0.785046729,FALSE
1963,13.71,0.551401869,FALSE
1964,47.4,0.289719626,FALSE
1965,28.83,0.401869159,FALSE
1966,29.17,0.38317757,FALSE
1967,8.5,0.719626168,FALSE
1968,18.8,0.46728972,FALSE
1969,3.57,0.869158879,FALSE
1970,0.79,0.971962617,FALSE
1971,27.81,0.411214953,FALSE
1972,11.72,0.607476636,FALSE
1973,18.63,0.476635514,FALSE
1974,178.11,0.074766355,FALSE
1975,30.87,0.373831776,FALSE
1976,1.93,0.925233645,FALSE
1977,8.75,0.700934579,FALSE
1978,32.54,0.345794393,FALSE
1979,2.78,0.897196262,FALSE
1980,85.74,0.214953271,FALSE
1981,21.89,0.448598131,FALSE
1982,12.26,0.598130841,FALSE
1983,15.04,0.523364486,FALSE
1984,3.62,0.859813084,FALSE
1985,7.67,0.738317757,FALSE
1986,161.52,0.102803738,FALSE
1987,15.04,0.504672897,FALSE
1988,13.59,0.560747664,FALSE
1989,10.08,0.682242991,FALSE
1990,10.25,0.663551402,FALSE
1991,7.53,0.747663551,FALSE
1992,14.55,0.53271028,FALSE
1993,2.44,0.906542056,FALSE
1994,10.68,0.635514019,FALSE
1995,3.74,0.841121495,FALSE
1996,10.31,0.644859813,FALSE
1997,8.72,0.710280374,FALSE
1998,26.87,0.429906542,FALSE
1999,4.3,0.822429907,FALSE
2000,44.97,0.299065421,FALSE
2001,3.23,0.887850467,FALSE
2002,13.2,0.570093458,FALSE
2003,4.81,0.813084112,FALSE
2004,36.16,0.317757009,FALSE
2005,63.26,0.261682243,FALSE
2006,0.79,0.981308411,FALSE
2007,31.97,0.355140187,FALSE
2008,1.93,0.91588785,FALSE
2009,0.88,0.962616822,FALSE
2010,0.68,0.990654206,FALSE
2011,6.4,0.757009346,FALSE
2012,12.69,0.588785047,FALSE
2013,21.15,0.457943925,FALSE
2014,9.77,0.691588785,FALSE
2015,106.75,0.186915888,FALSE
2016,3.68,0.85046729,FALSE
2017,0.99,0.953271028,FALSE
2018,28.94,0.392523364,FALSE
2019,3.74,0.831775701,FALSE
2020,1.36,0.943925234,FALSE
2021,17.19,0.485981308,FALSE
